day,segment_id,origin,destination,mode,expected_origin,expected_destination,map_status,card_status,endpoint_status,final_status
1,day-01-leg-01,bcn-airport,barcelona-checkin,bus,BCN T1 도착 — OZ511,숙소 체크인 — Occidental Barcelona 1929,COMPLETE,COMPLETE,PASS_MATCH,PASS
1,day-01-leg-02,barcelona-checkin,barcelona-sleep,walk,숙소 체크인 — Occidental Barcelona 1929,취침 준비,COMPLETE,COMPLETE,PASS_MATCH,PASS
2,day-02-leg-01,sant-pau,avinguda-gaudi,walk,Recinte Modernista de Sant Pau,Avinguda de Gaudí,COMPLETE,COMPLETE,PASS_MATCH,PASS
2,day-02-leg-02,avinguda-gaudi,la-paradeta-sagrada,walk,Avinguda de Gaudí,La Paradeta Sagrada Família 점심,COMPLETE,COMPLETE,PASS_MATCH,PASS
2,day-02-leg-03,la-paradeta-sagrada,sagrada-familia,walk,La Paradeta Sagrada Família 점심,Sagrada Família,COMPLETE,COMPLETE,PASS_MATCH,PASS
2,day-02-leg-04,sagrada-familia,gracia,metro,Sagrada Família,Vila de Gràcia,COMPLETE,COMPLETE,PASS_MATCH,PASS
2,day-02-leg-05,gracia,bodega-joan,walk,Vila de Gràcia,Bodega Joan 저녁,COMPLETE,COMPLETE,PASS_MATCH,PASS
2,day-02-leg-06,bodega-joan,barcelona-stay-return,walk,Bodega Joan 저녁,숙소 귀환 — Occidental Barcelona 1929,COMPLETE,COMPLETE,PASS_MATCH,PASS
3,day-03-leg-01,mercat-concepcio,barri-gotic,walk,Mercat de la Concepció 아침 장보기,고딕지구 핵심 산책,COMPLETE,COMPLETE,PASS_MATCH,PASS
3,day-03-leg-02,barri-gotic,biblioteca-de-catalunya,walk,고딕지구 핵심 산책,Biblioteca de Catalunya,COMPLETE,COMPLETE,PASS_MATCH,PASS
3,day-03-leg-03,biblioteca-de-catalunya,bar-canete,walk,Biblioteca de Catalunya,Bar Cañete 점심,COMPLETE,COMPLETE,PASS_MATCH,PASS
3,day-03-leg-04,bar-canete,macba,walk,Bar Cañete 점심,MACBA,COMPLETE,COMPLETE,PASS_MATCH,PASS
3,day-03-leg-05,macba,llibreria-finestres,walk,MACBA,Llibreria Finestres,COMPLETE,COMPLETE,PASS_MATCH,PASS
3,day-03-leg-06,llibreria-finestres,barcelona-stay-return,walk,Llibreria Finestres,숙소 귀환 — 짐 정리 및 휴식,COMPLETE,COMPLETE,PASS_MATCH,PASS
4,day-04-leg-01,barcelona-checkout,barcelona-sants,walk,Barcelona 체크아웃,Barcelona Sants,COMPLETE,COMPLETE,PASS_MATCH,PASS
4,day-04-leg-02,barcelona-sants,can-robert,car,Barcelona Sants,Can Robert · Sitges,COMPLETE,COMPLETE,PASS_MATCH,PASS
4,day-04-leg-03,can-robert,cau-ferrat-maricel,walk,Can Robert · Sitges,Cau Ferrat + Maricel,COMPLETE,COMPLETE,PASS_MATCH,PASS
4,day-04-leg-04,cau-ferrat-maricel,la-zorra,walk,Cau Ferrat + Maricel,La Zorra 점심 (시체스),COMPLETE,COMPLETE,PASS_MATCH,PASS
4,day-04-leg-05,la-zorra,bascara-stay,car,La Zorra 점심 (시체스),Bàscara 체크인,COMPLETE,COMPLETE,PASS_MATCH,PASS
5,day-05-leg-01,bascara-stay,collioure,car,Bàscara 출발,Collioure,COMPLETE,COMPLETE,PASS_MATCH,PASS
5,day-05-leg-02,collioure,collioure-lunch,walk,Collioure,Collioure 점심,COMPLETE,COMPLETE,PASS_MATCH,PASS
5,day-05-leg-03,collioure-lunch,cadaques,car,Collioure 점심,Cadaqués,COMPLETE,COMPLETE,PASS_MATCH,PASS
5,day-05-leg-04,cadaques,bascara-return,car,Cadaqués,Bàscara 복귀,COMPLETE,COMPLETE,PASS_MATCH,PASS
6,day-06-leg-01,bascara-stay,tossa,car,Bàscara 출발,Tossa de Mar,COMPLETE,COMPLETE,PASS_MATCH,PASS
6,day-06-leg-02,tossa,sant-feliu,car,Tossa de Mar,Sant Feliu de Guíxols 점심,COMPLETE,COMPLETE,PASS_MATCH,PASS
6,day-06-leg-03,sant-feliu,pals,car,Sant Feliu de Guíxols 점심,Pals,COMPLETE,COMPLETE,PASS_MATCH,PASS
6,day-06-leg-04,pals,peratallada,car,Pals,Peratallada,COMPLETE,COMPLETE,PASS_MATCH,PASS
6,day-06-leg-05,peratallada,bascara-return,car,Peratallada,Bàscara 복귀,COMPLETE,COMPLETE,PASS_MATCH,PASS
7,day-07-leg-01,bascara-checkout,bcn-airport-return,car,Bàscara 체크아웃,BCN 공항 T1 렌터카 반납,COMPLETE,COMPLETE,PASS_MATCH,PASS
