constraint_id,day,category,description,risk_level,buffer_required_min
CST-TRF-04,4,TRANSFER_DAY,"Day 04 lodging transition (): Check-out, luggage transit, check-in window.",HIGH,60
CST-TRF-07,7,TRANSFER_DAY,"Day 07 lodging transition (): Check-out, luggage transit, check-in window.",MEDIUM,30
CST-TRF-12,12,TRANSFER_DAY,"Day 12 lodging transition (): Check-out, luggage transit, check-in window.",HIGH,60
CST-BKG-12,12,FIXED_BOOKING,Day 12 fixed booking(s): moustiers-checkin: 숙소 미정 — 도착 전 확보가 이 구간 최우선 액션; moustiers-evening: 9월 수요일 저녁 영업 재확인 · 대안은 장보기,CRITICAL,45
CST-BKG-13,13,FIXED_BOOKING,Day 13 fixed booking(s): lapalud-lunch: 9월 평일 영업 재확인,HIGH,45
CST-BKG-14,14,FIXED_BOOKING,Day 14 fixed booking(s): marseille-lunch: 현장 선택,HIGH,45
CST-BKG-15,15,FIXED_BOOKING,Day 15 fixed booking(s): aix-lunch: 현장 방문 또는 점심 예약 권장,HIGH,45
CST-TRF-16,16,TRANSFER_DAY,"Day 16 lodging transition (): Check-out, luggage transit, check-in window.",MEDIUM,30
CST-BKG-17,17,FIXED_BOOKING,Day 17 fixed booking(s): aix-checkout: Aix 체크아웃 시각과 Gordes 숙소 체크인 가능 시각 재확인; lourmarin: 주차: Parking du Rayol 우선 · Château 내부 관람은 현장 선택; lourmarin-lunch: ACTION REQUIRED — 9/14 월요일 12:15 실제 예약 — La Récréation은 성수기 7일 운영(공식 확인) 슬롯은 아직 확인되지 않음; lacoste: 구시가지 밖 하부 주차 후 도보 접근; bonnieux: 하부 공영주차 후 도보 접근; gordes-checkin: Gordes 9/14~9/16 2박 숙소 확정 및 체크인 창 확인 필요; gordes-village: 대표 전망대 정차 후 숙소 또는 외곽 주차장에서 도보 접근; gordes-dinner: La Bastide de Pierres 2026년 4/1–10/25 매일 저녁 19:00–21:45 · 실제 좌석 재확인,HIGH,45
CST-BKG-18,18,FIXED_BOOKING,"Day 18 fixed booking(s): gordes-depart: Gordes 2박 숙소 미확정; roussillon: 9월 공식 운영 09:30–18:30(19:00 퇴장) · 현장 결제 · 날씨 조건부; roussillon-lunch: 9월 화요일 영업 재확인; senanque: ACTION REQUIRED — 9/15 16:00 HistoPad 회차는 표시됨(2026-08-25 확인), 예약은 아직 완료되지 않음; l-isle-sur-la-sorgue: 목·일 전통시장 아님 · 주요 antique village는 화·수 휴무가 많음; gordes-return: Gordes 2박 숙소 미확정",HIGH,45
CST-TRF-19,19,TRANSFER_DAY,"Day 19 lodging transition (): Check-out, luggage transit, check-in window.",MEDIUM,30
CST-BKG-19,19,FIXED_BOOKING,Day 19 fixed booking(s): gordes-checkout: 체크아웃 시각·수하물 보관 방식 확인; saint-remy: Parking de la Libération 또는 외곽 공영주차 · 수요일 혼잡; saint-remy-lunch: 1~1.5시간 안에 식사 가능한 구시가지 식당을 출발 전 선택; les-baux-de-provence: Château 운영·입장 조건과 외곽 유료주차 재확인; avignon-checkin: Avignon 9/16~9/20 4박 숙소 확정 및 주차·체크인 창 확인 필요; avignon-dinner: 당일 영업 식당 현장 선택 또는 짧은 예약,HIGH,45
CST-BKG-21,21,FIXED_BOOKING,Day 21 fixed booking(s): arenes: 현장 발권 / 유적 패스,HIGH,45
CST-BKG-22,22,FIXED_BOOKING,Day 22 fixed booking(s): avignon-return: 회랑 정원 테라스 예약 권장 (19:30),HIGH,45
CST-TRF-23,23,TRANSFER_DAY,"Day 23 lodging transition (): Check-out, luggage transit, check-in window.",HIGH,60
CST-BKG-23,23,FIXED_BOOKING,Day 23 fixed booking(s): lyon-return: 사전 예약 필수 (19:30),CRITICAL,45
CST-TRF-27,27,TRANSFER_DAY,"Day 27 lodging transition (): Check-out, luggage transit, check-in window.",MEDIUM,30
