issue_id,severity,duplicate_kind,canonical_key,occurrences,coordinate_status,locations,risk,recommended_action
DUP-001,medium,region-source-triad,barcelona,8 places × 3 files,same coordinates by place,source/ASSETS/75_Execution_Maps/Barcelona_Execution_Map_v0.2.html | source/ASSETS/75_Execution_Maps/Barcelona_Execution_Map_v0.2.geojson | source/ASSETS/75_Execution_Maps/Barcelona_Execution_Map_v0.2.kml,HTML·GeoJSON·KML 수동 동기화 필요,JSON 단일 레지스트리에서 HTML/KML을 생성
DUP-002,high,region-source-triad,girona,11 places × 3 files,same coordinates by place,source/ASSETS/75_Execution_Maps/Girona_Execution_Map_v0.2.html | source/ASSETS/75_Execution_Maps/Girona_Execution_Map_v0.2.geojson | source/ASSETS/75_Execution_Maps/Girona_Execution_Map_v0.2.kml,HTML·GeoJSON·KML 수동 동기화 필요; 실제 순서·분류가 이미 불일치,JSON 단일 레지스트리에서 HTML/KML을 생성
DUP-003,medium,region-source-triad,nice,8 places × 3 files,same coordinates by place,source/ASSETS/75_Execution_Maps/Nice_Execution_Map_v0.2.html | source/ASSETS/75_Execution_Maps/Nice_Execution_Map_v0.2.geojson | source/ASSETS/75_Execution_Maps/Nice_Execution_Map_v0.2.kml,HTML·GeoJSON·KML 수동 동기화 필요,JSON 단일 레지스트리에서 HTML/KML을 생성
DUP-004,medium,region-source-triad,aix,7 places × 3 files,same coordinates by place,source/ASSETS/75_Execution_Maps/Aix_Execution_Map_v0.2.html | source/ASSETS/75_Execution_Maps/Aix_Execution_Map_v0.2.geojson | source/ASSETS/75_Execution_Maps/Aix_Execution_Map_v0.2.kml,HTML·GeoJSON·KML 수동 동기화 필요,JSON 단일 레지스트리에서 HTML/KML을 생성
DUP-005,medium,region-source-triad,luberon,8 places × 3 files,same coordinates by place,source/ASSETS/75_Execution_Maps/Luberon_Execution_Map_v0.2.html | source/ASSETS/75_Execution_Maps/Luberon_Execution_Map_v0.2.geojson | source/ASSETS/75_Execution_Maps/Luberon_Execution_Map_v0.2.kml,HTML·GeoJSON·KML 수동 동기화 필요,JSON 단일 레지스트리에서 HTML/KML을 생성
DUP-006,medium,region-source-triad,avignon,8 places × 3 files,same coordinates by place,source/ASSETS/75_Execution_Maps/Avignon_Execution_Map_v0.2.html | source/ASSETS/75_Execution_Maps/Avignon_Execution_Map_v0.2.geojson | source/ASSETS/75_Execution_Maps/Avignon_Execution_Map_v0.2.kml,HTML·GeoJSON·KML 수동 동기화 필요,JSON 단일 레지스트리에서 HTML/KML을 생성
DUP-007,medium,region-source-triad,lyon,8 places × 3 files,same coordinates by place,source/ASSETS/75_Execution_Maps/Lyon_Execution_Map_v0.2.html | source/ASSETS/75_Execution_Maps/Lyon_Execution_Map_v0.2.geojson | source/ASSETS/75_Execution_Maps/Lyon_Execution_Map_v0.2.kml,HTML·GeoJSON·KML 수동 동기화 필요,JSON 단일 레지스트리에서 HTML/KML을 생성
DUP-008,medium,region-source-triad,paris,10 places × 3 files,same coordinates by place,source/ASSETS/75_Execution_Maps/Paris_Execution_Map_v0.2.html | source/ASSETS/75_Execution_Maps/Paris_Execution_Map_v0.2.geojson | source/ASSETS/75_Execution_Maps/Paris_Execution_Map_v0.2.kml,HTML·GeoJSON·KML 수동 동기화 필요,JSON 단일 레지스트리에서 HTML/KML을 생성
DUP-009,medium,region-vs-daily-place,Praktik Garden,4,same,source/ASSETS/75_Execution_Maps/Barcelona_Execution_Map_v0.2.geojson:Praktik Garden | source/ASSETS/76_Daily_Execution_Maps/daily-maps.json:2026-08-29:barcelona-stay-candidate | source/ASSETS/76_Daily_Execution_Maps/daily-maps.json:2026-08-30:barcelona-stay-candidate | source/ASSETS/76_Daily_Execution_Maps/daily-maps.json:2026-08-31:barcelona-stay-candidate,장소 속성·상태를 여러 레코드에서 관리,place-registry.json 한 레코드로 병합하고 daily-routes.json은 placeId만 참조
DUP-010,medium,region-vs-daily-place,Sagrada Família,2,same,source/ASSETS/75_Execution_Maps/Barcelona_Execution_Map_v0.2.geojson:Sagrada Família | source/ASSETS/76_Daily_Execution_Maps/daily-maps.json:2026-08-30:sagrada-familia,장소 속성·상태를 여러 레코드에서 관리,place-registry.json 한 레코드로 병합하고 daily-routes.json은 placeId만 참조
DUP-011,medium,region-vs-daily-place,Sant Pau Recinte Modernista,2,same,source/ASSETS/75_Execution_Maps/Barcelona_Execution_Map_v0.2.geojson:Sant Pau | source/ASSETS/76_Daily_Execution_Maps/daily-maps.json:2026-08-30:sant-pau-recinte-modernista,장소 속성·상태를 여러 레코드에서 관리,place-registry.json 한 레코드로 병합하고 daily-routes.json은 placeId만 참조
DUP-012,medium,region-vs-daily-place,Barri Gòtic,2,same,source/ASSETS/75_Execution_Maps/Barcelona_Execution_Map_v0.2.geojson:Gòtic | source/ASSETS/76_Daily_Execution_Maps/daily-maps.json:2026-08-31:barri-gotic,장소 속성·상태를 여러 레코드에서 관리,place-registry.json 한 레코드로 병합하고 daily-routes.json은 placeId만 참조
