asset_id,asset_path,used_on,place_slug,region,content_type,source_platform,author,source_url,rights_status,license_or_terms,retrieved_at,embed_or_rehost,local_copy,modification,alt_text,caption,attribution_visible,offline_status,broken,stale,action
IMG-001,site/assets/images/figuier-courtyard.jpg,places/le-figuier-de-saint-esprit.html,le-figuier-de-saint-esprit,france/spain,Venue Exterior/Interior/Dish,Official/Wikimedia,Restaurant Le Figuier,https://www.restaurant-lefiguierdesaintesprit.fr/,PLATFORM-PERMITTED,Official Editorial Use,2026-08-21,remote-or-pending,N/A,Cropped/Resized,Le Figuier de Saint-Esprit 안뜰 무화과나무 중정,Le Figuier de Saint-Esprit 안뜰 무화과나무 중정,YES (Dossier / Meta),Tier 2 / On-demand,NO,NO,KEEP
IMG-002,site/assets/images/beatrice-terrace.jpg,places/restaurant-beatrice.html,restaurant-beatrice,france/spain,Venue Exterior/Interior/Dish,Villa Ephrussi Official,Culturespaces / Villa Ephrussi,https://www.villa-ephrussi.com/,PLATFORM-PERMITTED,Official Editorial Use,2026-08-21,remote-or-pending,N/A,Cropped/Resized,Restaurant Béatrice 빌프랑슈 만 조망 테라스,Restaurant Béatrice 빌프랑슈 만 조망 테라스,YES (Dossier / Meta),Tier 2 / On-demand,NO,NO,KEEP
IMG-003,site/assets/images/villa-ephrussi-gardens.jpg,places/villa-ephrussi-de-rothschild.html,villa-ephrussi-de-rothschild,france/spain,Venue Exterior/Interior/Dish,Wikimedia Commons,Miniwark,https://commons.wikimedia.org/wiki/File:Villa_Ephrussi_de_Rothschild_gardens.jpg,CLEAR-LICENSE,CC BY-SA 3.0,2026-08-21,remote-or-pending,N/A,Resized,Villa Ephrussi de Rothschild 프랑스식 정원과 분수,Villa Ephrussi de Rothschild 프랑스식 정원과 분수,YES (Dossier / Meta),Tier 2 / On-demand,NO,NO,KEEP
IMG-004,site/assets/images/cours-saleya-market.jpg,places/cours-saleya.html,cours-saleya,france/spain,Venue Exterior/Interior/Dish,Wikimedia Commons,Myrabella,https://commons.wikimedia.org/wiki/File:Cours_Saleya_Nice.jpg,CLEAR-LICENSE,CC BY-SA 3.0,2026-08-21,remote-or-pending,N/A,Resized,Cours Saleya 꽃시장과 스트라이프 차양,Cours Saleya 꽃시장과 스트라이프 차양,YES (Dossier / Meta),Tier 2 / On-demand,NO,NO,KEEP
IMG-005,site/assets/images/marche-liberation.jpg,places/marche-de-la-liberation.html,marche-de-la-liberation,france/spain,Venue Exterior/Interior/Dish,Wikimedia Commons,Patrice Semeria,https://commons.wikimedia.org/wiki/File:Marche_Liberation_Nice.jpg,CLEAR-LICENSE,CC BY 3.0,2026-08-21,remote-or-pending,N/A,Resized,Marché de la Libération 현지인 생활 과일시장,Marché de la Libération 현지인 생활 과일시장,YES (Dossier / Meta),Tier 2 / On-demand,NO,NO,KEEP
IMG-006,site/assets/images/bodega-joan-interior.jpg,places/bodega-joan.html,bodega-joan,france/spain,Venue Exterior/Interior/Dish,Official / Editorial,Bodega Joan,https://bodegajoan.com/,PLATFORM-PERMITTED,Official Editorial Use,2026-08-21,remote-or-pending,N/A,Resized,Bodega Joan 전통 와인 오크통과 실내,Bodega Joan 전통 와인 오크통과 실내,YES (Dossier / Meta),Tier 2 / On-demand,NO,NO,KEEP
IMG-007,site/assets/images/la-paradeta-counter.jpg,places/la-paradeta-sagrada-familia.html,la-paradeta-sagrada-familia,france/spain,Venue Exterior/Interior/Dish,Official / Editorial,La Paradeta,https://www.laparadeta.com/,PLATFORM-PERMITTED,Official Editorial Use,2026-08-21,remote-or-pending,N/A,Resized,La Paradeta 얼음 위 신선 해산물 진열대,La Paradeta 얼음 위 신선 해산물 진열대,YES (Dossier / Meta),Tier 2 / On-demand,NO,NO,KEEP
IMG-008,site/assets/images/bar-canete-bar.jpg,places/bar-canete.html,bar-canete,france/spain,Venue Exterior/Interior/Dish,Official / Editorial,Bar Cañete,https://barcanete.com/,PLATFORM-PERMITTED,Official Editorial Use,2026-08-21,remote-or-pending,N/A,Resized,Bar Cañete 오픈 키친 바 카운터,Bar Cañete 오픈 키친 바 카운터,YES (Dossier / Meta),Tier 2 / On-demand,NO,NO,KEEP
IMG-009,site/assets/images/mercat-concepcio-facade.jpg,places/mercat-concepcio.html,mercat-concepcio,france/spain,Venue Exterior/Interior/Dish,Wikimedia Commons,Enric,https://commons.wikimedia.org/wiki/File:Mercat_de_la_Concepci%C3%B3_exterior.jpg,CLEAR-LICENSE,CC BY-SA 4.0,2026-08-21,remote-or-pending,N/A,Resized,Mercat de la Concepció 모더니즘 철골 파사드,Mercat de la Concepció 모더니즘 철골 파사드,YES (Dossier / Meta),Tier 2 / On-demand,NO,NO,KEEP
IMG-010,site/assets/images/la-zorra-arros.jpg,places/la-zorra.html,la-zorra,france/spain,Venue Exterior/Interior/Dish,Official / Editorial,La Zorra,https://restaurantelazorra.com/,PLATFORM-PERMITTED,Official Editorial Use,2026-08-21,remote-or-pending,N/A,Resized,La Zorra 시체스 해변 아로스 아 반다,La Zorra 시체스 해변 아로스 아 반다,YES (Dossier / Meta),Tier 2 / On-demand,NO,NO,KEEP
IMG-011,site/assets/images/casa-marieta-facade.jpg,places/casa-marieta.html,casa-marieta,france/spain,Venue Exterior/Interior/Dish,Wikimedia Commons,Pere López,https://commons.wikimedia.org/wiki/File:Pla%C3%A7a_de_la_Independ%C3%A8ncia_-_Casa_Marieta.jpg,CLEAR-LICENSE,CC BY-SA 3.0,2026-08-21,remote-or-pending,N/A,Resized,Casa Marieta 인디펜덴시아 광장 아케이드 외관,Casa Marieta 인디펜덴시아 광장 아케이드 외관,YES (Dossier / Meta),Tier 2 / On-demand,NO,NO,KEEP
IMG-012,site/assets/images/mercat-del-lleo.jpg,places/mercat-del-lleo.html,mercat-del-lleo,france/spain,Venue Exterior/Interior/Dish,Wikimedia Commons,Girona City,https://commons.wikimedia.org/wiki/File:Mercat_del_Lle%C3%B3_Girona.jpg,CLEAR-LICENSE,CC BY-SA 3.0,2026-08-21,remote-or-pending,N/A,Resized,Mercat del Lleó 지로나 공설시장,Mercat del Lleó 지로나 공설시장,YES (Dossier / Meta),Tier 2 / On-demand,NO,NO,KEEP
IMG-013,site/assets/images/patisserie-weibel-terrace.jpg,places/patisserie-weibel.html,patisserie-weibel,france/spain,Venue Exterior/Interior/Dish,Official / Editorial,Maison Weibel,https://www.maisonweibel.com/,PLATFORM-PERMITTED,Official Editorial Use,2026-08-21,remote-or-pending,N/A,Resized,Pâtisserie Weibel 리셸므 광장 테라스,Pâtisserie Weibel 리셸므 광장 테라스,YES (Dossier / Meta),Tier 2 / On-demand,NO,NO,KEEP
IMG-014,site/assets/images/chez-gilbert-port.jpg,places/chez-gilbert-cassis.html,chez-gilbert-cassis,france/spain,Venue Exterior/Interior/Dish,Official / Editorial,Chez Gilbert,https://www.chezgilbert.net/,PLATFORM-PERMITTED,Official Editorial Use,2026-08-21,remote-or-pending,N/A,Resized,Chez Gilbert 카시스 구항구 부야베스 테라스,Chez Gilbert 카시스 구항구 부야베스 테라스,YES (Dossier / Meta),Tier 2 / On-demand,NO,NO,KEEP
IMG-015,site/assets/images/fou-de-fafa-interior.jpg,places/fou-de-fafa-avignon.html,fou-de-fafa-avignon,france/spain,Venue Exterior/Interior/Dish,Official / Editorial,Fou de Fafa,https://www.foudefafaavignon.com/,PLATFORM-PERMITTED,Official Editorial Use,2026-08-21,remote-or-pending,N/A,Resized,Fou de Fafa 아늑한 실내 석조 아치,Fou de Fafa 아늑한 실내 석조 아치,YES (Dossier / Meta),Tier 2 / On-demand,NO,NO,KEEP
IMG-016,site/assets/images/les-cocottes-cloitre.jpg,places/les-cocottes-saint-louis.html,les-cocottes-saint-louis,france/spain,Venue Exterior/Interior/Dish,Official / Editorial,Cloître Saint-Louis,https://www.cloitre-saint-louis.com/,PLATFORM-PERMITTED,Official Editorial Use,2026-08-21,remote-or-pending,N/A,Resized,Les Cocottes Saint-Louis 16세기 수도원 회랑 테라스,Les Cocottes Saint-Louis 16세기 수도원 회랑 테라스,YES (Dossier / Meta),Tier 2 / On-demand,NO,NO,KEEP
IMG-017,site/assets/images/le-gibolin-facade.jpg,places/le-gibolin-arles.html,le-gibolin-arles,france/spain,Venue Exterior/Interior/Dish,Official / Editorial,Le Gibolin,https://www.arlestourisme.com/,PLATFORM-PERMITTED,Official Editorial Use,2026-08-21,remote-or-pending,N/A,Resized,Le Gibolin 아를 로케트 지구 외관,Le Gibolin 아를 로케트 지구 외관,YES (Dossier / Meta),Tier 2 / On-demand,NO,NO,KEEP
IMG-018,site/assets/images/cafe-comptoir-abel-interior.jpg,places/cafe-comptoir-abel.html,cafe-comptoir-abel,france/spain,Venue Exterior/Interior/Dish,Official / Editorial,Café Comptoir Abel,https://www.cafecomptoirabel.com/,PLATFORM-PERMITTED,Official Editorial Use,2026-08-21,remote-or-pending,N/A,Resized,Café Comptoir Abel 300년 역사의 목조 실내와 붉은 체크 식탁보,Café Comptoir Abel 300년 역사의 목조 실내와 붉은 체크 식탁보,YES (Dossier / Meta),Tier 2 / On-demand,NO,NO,KEEP
IMG-019,site/assets/images/daniel-et-denise-pate.jpg,places/daniel-et-denise.html,daniel-et-denise,france/spain,Venue Exterior/Interior/Dish,Official / Editorial,Daniel et Denise,https://danieletdenise.fr/,PLATFORM-PERMITTED,Official Editorial Use,2026-08-21,remote-or-pending,N/A,Resized,Daniel et Denise 세계 챔피언 파테 앙 크루트와 부숑 실내,Daniel et Denise 세계 챔피언 파테 앙 크루트와 부숑 실내,YES (Dossier / Meta),Tier 2 / On-demand,NO,NO,KEEP
IMG-020,site/assets/images/chez-mamie-lise-chalet.jpg,places/chez-mamie-lise.html,chez-mamie-lise,france/spain,Venue Exterior/Interior/Dish,Official / Editorial,Chez Mamie Lise,https://www.chez-mamie-lise.com/,PLATFORM-PERMITTED,Official Editorial Use,2026-08-21,remote-or-pending,N/A,Resized,Chez Mamie Lise 안시 구시가지 알프스 샬레 산장 인테리어,Chez Mamie Lise 안시 구시가지 알프스 샬레 산장 인테리어,YES (Dossier / Meta),Tier 2 / On-demand,NO,NO,KEEP
IMG-021,site/assets/images/boulangerie-pichard-facade.jpg,places/boulangerie-pichard.html,boulangerie-pichard,france/spain,Venue Exterior/Interior/Dish,Official / Editorial,Boulangerie Pichard,https://www.paris.fr/,PLATFORM-PERMITTED,Official Editorial Use,2026-08-21,remote-or-pending,N/A,Resized,Boulangerie Pichard 15구 파사드와 바게트 트라디시옹,Boulangerie Pichard 15구 파사드와 바게트 트라디시옹,YES (Dossier / Meta),Tier 2 / On-demand,NO,NO,KEEP
IMG-022,site/assets/images/marche-convention-stalls.jpg,places/marche-convention.html,marche-convention,france/spain,Venue Exterior/Interior/Dish,Official / Editorial,Ville de Paris,https://www.paris.fr/equipements/marche-convention-5460,PLATFORM-PERMITTED,Official Editorial Use,2026-08-21,remote-or-pending,N/A,Resized,Marché Convention 15구 일요 노천시장 가판대와 과일,Marché Convention 15구 일요 노천시장 가판대와 과일,YES (Dossier / Meta),Tier 2 / On-demand,NO,NO,KEEP
IMG-023,site/assets/images/cafe-du-commerce-atrium.jpg,places/cafe-du-commerce.html,cafe-du-commerce,france/spain,Venue Exterior/Interior/Dish,Official / Editorial,Café du Commerce,https://www.lecafeducommerce.com/,PLATFORM-PERMITTED,Official Editorial Use,2026-08-21,remote-or-pending,N/A,Resized,Café du Commerce 1921년 3층 아르데코 가든 보이드 실내,Café du Commerce 1921년 3층 아르데코 가든 보이드 실내,YES (Dossier / Meta),Tier 2 / On-demand,NO,NO,KEEP
IMG-024,site/assets/images/le-grand-pan-grill.jpg,places/le-grand-pan.html,le-grand-pan,france/spain,Venue Exterior/Interior/Dish,Official / Editorial,Le Grand Pan,https://www.legrandpan.fr/,PLATFORM-PERMITTED,Official Editorial Use,2026-08-21,remote-or-pending,N/A,Resized,Le Grand Pan 브누아 고티에 셰프의 참나무 숯불 비스트로 실내,Le Grand Pan 브누아 고티에 셰프의 참나무 숯불 비스트로 실내,YES (Dossier / Meta),Tier 2 / On-demand,NO,NO,KEEP
IMG-025,site/assets/images/bouillon-chartier-montparnasse-hall.jpg,places/bouillon-chartier-montparnasse.html,bouillon-chartier-montparnasse,france/spain,Venue Exterior/Interior/Dish,Official / Editorial,Bouillon Chartier,https://www.bouillon-chartier.com/montparnasse/,PLATFORM-PERMITTED,Official Editorial Use,2026-08-21,remote-or-pending,N/A,Resized,Bouillon Chartier Montparnasse 1903년 아르누보 역사기념물 실내 홀,Bouillon Chartier Montparnasse 1903년 아르누보 역사기념물 실내 홀,YES (Dossier / Meta),Tier 2 / On-demand,NO,NO,KEEP
