region,fact,result,source_url,checked,status
barcelona,Sagrada Família 성인 요금 (기본 €26 / 타워 포함 €36),일치 — 공식 요금표 €26.00 / €36.00,https://sagradafamilia.org/en/prices,2026-08-17,VERIFIED
barcelona,Sagrada Família 일요일 개장시간,일치 — 일요일 10:30 개장 (4–9월 10:30–20:00),https://sagradafamilia.org/en/schedules-how-to-get,2026-08-17,VERIFIED
barcelona,Sant Pau Recinte Modernista 운영시간·요금,"신규 확정 — 월–일 09:30–18:30(4–10월), 성인 €18(14시 이전)/€17(14시 이후). 챕터는 pending 공란",https://santpaubarcelona.org/en/visita/visita-lliure/,2026-08-17,VERIFIED
barcelona,MACBA 월요일 개관 / 휴관 요일,"확인 — 월요일 개관, 화요일 휴관. 6/25–9/24 10:00–20:00, 일 10:00–15:00",https://www.macba.cat/en/plan-your-visit/,2026-08-17,VERIFIED
barcelona,MACBA 입장료,일치 — 현장 €15.00 · 온라인 €13.50 (챕터 €13.50),https://www.macba.cat/en/plan-your-visit/,2026-08-17,VERIFIED
barcelona,Museu del Cau Ferrat · Museu de Maricel 운영시간,"일치 — 4–10월 화–일 10:00–19:00, 월요일 휴관. 9/1(화) 정상",https://museusdesitges.cat/ca/horaris,2026-08-17,VERIFIED
barcelona,Palau de Maricel 관람 방식·운영일,원장 확정값 재확인 — 가이드 투어 전용. 7·8월 화·수 / 9월–6월 일요일만 → 9/1(화) 불가,https://museusdesitges.cat/ca/horaris,2026-08-17,VERIFIED
barcelona,Cau Ferrat + Maricel 통합권 요금,"일치 — 일반 €12. (3관 통합 €17, Palau de Maricel 별도 €12)",https://museusdesitges.cat/ca/tarifes,2026-08-17,VERIFIED
barcelona,La Paradeta Sagrada Família 영업시간·휴무·주소,"일요일 13:00–16:00 일치. 신규: 월요일 휴무, 화–토 13:00–16:00/20:00–23:30, Passatge Simó 18",https://www.laparadeta.com/en/seafood-restaurants/,2026-08-17,VERIFIED
barcelona,Mercat de la Concepció 요일별 영업시간,신규 확정 — 월·토 08:00–15:00 · 화–금 08:00–20:00. 8/31(월) 10:00 방문 성립,https://www.barcelona.cat/en/conocebcn/pics/el-mercado-de-la-concepcio-92086009449,2026-08-17,VERIFIED
barcelona,Bar Cañete 영업시간·휴무,"UNVERIFIED — 공식 사이트(barcanete.com, /bookings)에 영업시간 미게재. 추정값 금지 원칙에 따라 미검증 유지",https://barcanete.com/en/bookings/,2026-08-17,UNVERIFIED
barcelona,Biblioteca de Catalunya 개관시간,UNVERIFIED — 공식 사이트(bnc.cat) robots/TLS 차단으로 판독 실패. 우회 시도 안 함,https://www.bnc.cat/en/Visit-us,2026-08-17,UNVERIFIED
girona,"Collioure 전통시장 요일·장소 (수·일 오전, Place du Maréchal Leclerc)",본문 일치 — 9/2(수) 장날 확인,https://www.tourisme-collioure.com/agenda-collioure/les-marches-collioure/,2026-08-17,VERIFIED
girona,Château Royal de Collioure 9월 운영·요금,"9/1–10/31 10:00–18:00, 성인 €9, 마지막 입장 45분 전 — 본문 일치",https://www.tourisme-collioure.com/activites-collioure/les-sites-a-ne-pas-manquer-collioure/le-chateau-royal-collioure/,2026-08-17,VERIFIED
girona,Girona Cathedral 고시즌(6/15–9/15) 운영시간,"월–금 10:00–19:00 (토 –20:00, 일 12:00–19:00) — 본문 '평일 10:00–19:00' 일치. 마지막 입장 시각은 페이지에 없음",https://catedraldegirona.cat/en/girona-cathedral-cultural-visit/,2026-08-17,VERIFIED
girona,Girona Cathedral+Sant Feliu 성인 티켓,€7.50 (오디오가이드 포함) — 예약 카드 값 일치. 미술관 포함 €12 상품은 공식 티켓 페이지에서 미확인,https://tickets.catedraldegirona.cat/en/girona-cathedral-and-the-basilica-of-sant-feliu,2026-08-17,VERIFIED
girona,Cadaqués 마을 입구 Saba 주차장 실재,Parking Saba Riera Sant Vicenç 확인 (요금·만차 조건은 미확인),https://www.saba.es/en/parking-cadaques,2026-08-17,VERIFIED
girona,Casa Marieta 영업시간·화요일 저녁,공식 사이트 서비스 시간 12:30–15:30 / 19:30–22:30. 주간 휴무 요일 미표기 — 화요일 저녁 영업 최종 확정 불가 (전화 확인 필요),https://casamarieta.com/en/,2026-08-17,VERIFIED
girona,Mercat del Lleó 운영시간,"월–금 07:00–14:00, 토·공휴일 전날 07:00–14:30 — 본문 일치",https://web.girona.cat/comerc/mercatlleo,2026-08-17,VERIFIED
girona,Museum of Jewish History 운영·요금,"9–6월 화–토 10:00–18:00, 월·일·공휴일 10:00–14:00, €6 — 본문 기재 부분 일치, 월·일 오전 개관은 본문 누락",https://www.girona.cat/turisme/eng/museus_call.php,2026-08-17,VERIFIED
girona,Girona 성벽 운영시간,"9월–5월 08:00–21:00 (6–8월 –23:00) — dossier의 '상시 개방'은 오류, Day 1 섹션의 08:00–21:00이 정확",https://www.girona.cat/turisme/eng/monuments_muralla.php,2026-08-17,VERIFIED
girona,La Roca (Peratallada) 목요일 점심 영업,"UNVERIFIED — 공식 사이트 접속 실패(robots/timeout), 관광청 venue 페이지에 시간 정보 없음",https://www.visitperatallada.cat/en/venues/l/1017-la-roca--peratallada.html,2026-08-17,UNVERIFIED
nice,,"월 휴관, 화-일 10:00-18:00 (갤러리동 10:00-12:30/13:30-18:00)",,2026-08-17,VERIFIED
nice,,"화-일 11:30-14:30·17:30-22:00, 월 휴무, 워크인 전용(단체 외 예약 불가), 13 rue Bavastro",,2026-08-17,VERIFIED
nice,,"니스 관광청 2026 리스팅 주 7일 영업 표기 (시간 미표기, 신뢰도 중)",,2026-08-17,VERIFIED
nice,,"화-일 06:00-12:30, 월 휴무",,2026-08-17,VERIFIED
nice,,"월요일 골동품시장 07:00-18:00, 화-일 꽃·식품 오전 시장 — 챕터 서술 정합",,2026-08-17,VERIFIED
nice,,9/1-6/30 화-일 07:00-13:00 (월 휴무) — 9/6(일) 방문 정합,,2026-08-17,VERIFIED
nice,,"매일 11:55 (Place du Palais), 2026-08-23 1일 취소 공지는 여행일 무관",,2026-08-17,VERIFIED
nice,,"4/1-10/31 매일 08:30-20:00, 무료 (엘리베이터 언급 없음)",,2026-08-17,VERIFIED
nice,,"UNVERIFIED — nice.fr 공식 페이지에 엘리베이터 미기재, 다른 공식 소스 미확보",,2026-08-17,UNVERIFIED
nice,,"UNVERIFIED — hertz.com/hertz.fr 위치 페이지 404, 공식 소스 접근 실패 (비공식 디렉터리만 검색됨)",,2026-08-17,UNVERIFIED
aix,,화–일 10:00–18:00(~11/1)·월 휴관·매표 17:30·일반 €14/감액 €12·상설 단독권 없음(McCartney전 포함 단일권),,2026-08-17,VERIFIED
aix,,"13 avenue Paul Cézanne 13090 · 7/4–10/31 · 7/1–9/30 매일 09:00–18:00 · €9.50(자율, 11:30부터)/€12(가이드 1.5h)/€15(심화 2h)",,2026-08-17,VERIFIED
aix,,"'Réservation obligatoire à l'Atelier des Lauves, places limitées' · 2026 개방 7/4–10/31",,2026-08-17,VERIFIED
aix,,화요일 휴관(+5/1·12/25) · €11/€7.50/가족 €18 · 매월 첫 일요일 무료 · 야외 동선 무료 · 게시 시간은 10h–20h(계절 구분 미제시),,2026-08-17,VERIFIED
