id,name,region,legacy_type,normalized_type,priority,content_tier,day_refs,has_dedicated_place_page,current_content_depth,rationale
---,---,paris,---,---,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
a-d-aligre-butte-aux-cailles-convention-batignolles,a-d-aligre-butte-aux-cailles-convention-batignolles,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
abbaye-de-senanque,Abbaye de Sénanque,luberon,spot,architecture,MUST_SEE,TIER_A,,Y,DEEP_GUIDE,계곡 속 12세기 시토회 수도원과 라벤더 밭
acchiardo,acchiardo,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
aerobus,aerobus,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
aix-stay-candidate,aix-stay-candidate,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
annecy,Annecy 구시가지,lyon,spot,village,WORTHWHILE,TIER_B,,Y,DEEP_GUIDE,"알프스의 베니스, 안시 호수와 팔레 드 릴 중세 운하 마을"
annecy-cruise,annecy-cruise,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
annecy-palais-de-l-ile,annecy-palais-de-l-ile,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
arc-de-triomphe-longchamp,arc-de-triomphe-longchamp,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
arenes-d-arles,Arènes d’Arles,avignon,spot,historic_site,MUST_SEE,TIER_A,Day 22,Y,SHORT_DESCRIPTION,기원전 1세기 로마 원형 투기장
arles,Arles,avignon,spot,village,MUST_SEE,TIER_A,,Y,SHORT_DESCRIPTION,고흐의 도시이자 로마 유적 유네스코 세계유산 도시
arles-arenes,arles-arenes,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
arles-la-roquette,arles-la-roquette,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
arles-theatre-antique,arles-theatre-antique,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
atelier-des-lauves,Atelier des Lauves,aix,spot,museum,MUST_SEE,TIER_A,Day 15,Y,MEDIUM_GUIDE,"폴 세잔의 마지막 아틀리에, 유품과 아틀리에 정원"
auditSources,auditSources,unknown,spot,spot,WORTHWHILE,TIER_B,,N,NONE,기본 분류 배정
