slug,name,local_name,region,content_tier,priority,kind,lines,bytes,summary
abbaye-de-senanque,Abbaye Notre-Dame de Sénanque,Abbaye Notre-Dame de Sénanque,luberon,TIER_A,MUST_SEE,spot,59,4704,1148년 깊은 협곡 속에 세워진 12세기 시토회(Cistercian) 로마네스크 수도원. 일체의 장식을 배제한 절대적 청빈의 중세 석조 건축과 현재도 이어지는 수도사들의 침묵 기도.
annecy,Annecy 구시가지 · 호수,Annecy (Vieille Ville & Lac d'Annecy),lyon,TIER_A,MUST_SEE,spot,70,5940,"알프스 만년설이 흘러드는 유럽에서 가장 투명한 안시 호수와 티우(Thiou) 운하를 품은 '알프스의 베네치아'. 12세기 수상 요새 팔레 드 릴(Palais de l'Île), 중세 안시 성채, 사랑의 다리(Pont des Amours)."
arenes-d-arles,Arènes d'Arles,Amphithéâtre Romain d'Arles (Arènes),avignon,TIER_A,MUST_SEE,spot,57,4887,"서기 90년 로마 제국이 축조한 2만 명 수용 규모의 2단 120개 아치 원형 경기장. 중세 200여 채 가옥이 들어선 요새 마을로 변신했던 굴곡진 역사와 현재도 카마르그 투우가 열리는 2,000년 현역 무대(유네스코 세계유산)."
arles,Arles,Arles (Ville d'Art et d'Histoire),avignon,TIER_A,MUST_SEE,spot,63,5394,"기원전 1세기 로마 제국의 거대한 원형 경기장과 고대 극장, 12세기 로마네스크 생트로핌 회랑, 1888년 빈센트 반 고흐가 300여 점의 불꽃같은 걸작을 쏟아낸 빛과 역사의 도시."
atelier-des-lauves,Atelier de Cézanne (Atelier des Lauves),Atelier de Cézanne (Les Lauves),aix,TIER_A,MUST_SEE,spot,61,5069,"폴 세잔이 생의 마지막 4년(1902–1906) 동안 매일 그림을 그렸던 언덕 위 아틀리에. 북향 채광창, 대형 캔버스용 벽 슬릿, 정물화에 등장했던 올리브 단지와 해골이 그대로 보존된 근대 미술의 성지."
barcelona-sants,Barcelona Sants,,barcelona,TIER_B,WORTHWHILE,node,20,737,소요   60–90분 완충 — 서류·차량 점검·주차장 출차
barri-gotic,Barri Gòtic,El Barri Gòtic,barcelona,TIER_A,MUST_SEE,spot,66,6031,기원전 1세기 로마 도시 바르시노의 성벽 위에 중세와 20세기 고딕 부흥이 층층이 쌓인 바르셀로나의 역사적 심장.
bastide-du-jas-de-bouffan,Bastide du Jas de Bouffan,Bastide du Jas de Bouffan,aix,TIER_B,WORTHWHILE,spot,57,4454,"폴 세잔이 20세부터 60세까지 40년간 머물며 화가로 성장했던 가문의 여름 저택. 살롱의 초기 벽화, 마로니에 가로수길, 분수 연못, 그리고 화가가 최초로 생트 빅투아르 산을 그렸던 역사적 현장."
bellecour,Bellecour,Place Bellecour (Presqu'île),lyon,TIER_B,WORTHWHILE,spot,54,4032,"유럽 최대 규모의 순수 보행자 붉은 자갈 광장(6.2ha)이자 리옹 지리망의 원점(Point Zéro). 중앙의 루이 14세 기마상과 푸르비에르 언덕 조망, 남서쪽 생텍쥐페리와 어린 왕자 기념 동상."
biblioteca-de-catalunya,Biblioteca de Catalunya,Biblioteca de Catalunya (Antic Hospital de la Santa Creu),barcelona,TIER_B,WORTHWHILE,spot,56,4135,15세기 구 산타 크레우 고딕 병원이 카탈루냐 국립도서관으로 변모한 곳이자 가우디가 마지막 숨을 거둔 역사적 공간.
bnf-richelieu,BnF Richelieu,Bibliothèque nationale de France — Site Richelieu,paris,TIER_A,MUST_SEE,spot,58,4896,"1868년 앙리 라브루스트가 주철 기둥과 9개 도자기 돔으로 완성한 19세기 건축의 걸작 '라브루스트 열람실'과 일반에 전면 무료 개방된 거대한 타원형 '오발 열람실(Salle Ovale)', 프랑스 국립도서관 박물관."
bonnieux,Bonnieux,Bonnieux,luberon,TIER_B,WORTHWHILE,spot,54,3899,뤼베롱 산맥 북사면에 층층이 솟아오른 가장 낙차가 큰 계단식 언덕 마을. 해발 425m 옛 성당(Vieille Église) 정상 테라스에서 맞은편 라코스트(Lacoste) 성채와 계곡 전체를 굽어보는 압도적 파노라마.
bourse-de-commerce-pinault-collection,Bourse de Commerce — Pinault Collection,Bourse de Commerce — Pinault Collection,paris,TIER_B,WORTHWHILE,spot,51,4208,18세기 원형 곡물거래소를 세계적인 건축가 안도 다다오가 노출 콘크리트 원통 실린더로 리노베이션한 현대미술관. 프랑수아 피노 회장의 세계적 현대미술 컬렉션과 1889년 돔 천장 무역 파노라마 프레스코화.
calanques,Parc National des Calanques,"Parc National des Calanques (En-Vau, Port-Pin, Port-Miou)",aix,TIER_B,WORTHWHILE,spot,50,3979,마르세유와 카시스 사이에 걸쳐 20km에 걸쳐 펼쳐진 유럽 유일의 지중해 연안 국립공원. 에메랄드빛 바다로 수직 낙하하는 백색 석회암 피오르 협만들의 장관.
calella-de-palafrugell,Calella de Palafrugell,Calella de Palafrugell & Camí de Ronda,girona,TIER_B,WORTHWHILE,spot,50,3652,"흰색 회반죽 가옥과 아치 회랑(Les Voltes), 쪽빛 바위 만(Cove)을 잇는 카미 데 론다 해안 산책로가 있는 코스타 브라바의 원형 어촌."
cannes-walk,Cannes Forville–Suquet–Croisette Walk,"Promenade de Cannes : Forville, Suquet et Croisette",nice,TIER_C,OPTIONAL,walk,41,2092,"칸 기차역에서 출발해 포르빌 시장, 11세기 르 쉬케 어촌 언덕, 구항구를 지나 영화제의 상징 크루아제트 대로로 이어지는 칸 핵심 도보 코스."
cannes,Cannes,Cannes (Le Suquet & La Croisette),nice,TIER_B,WORTHWHILE,spot,55,3888,"국제영화제의 상징 크루아제트 대로와 호화 요트 항구, 그리고 11세기 중세 어촌의 원형 르 쉬케 언덕이 공존하는 코트다쥐르의 영화 도시."
carrieres-de-bibemus,Carrières de Bibémus,Carrières de Bibémus (Plateau de Bibémus),aix,TIER_B,WORTHWHILE,spot,53,4077,엑상프로방스 건축물의 황금빛 사암을 공급하던 고대·중세 채석장. 직각으로 깎인 붉은 사암 절벽과 소나무 숲 사이에서 세잔이 큐비즘의 기하학적 구도를 태동시켰던 야외 작업장.
carrieres-des-lumieres,Carrières des Lumières,Carrières des Lumières (Les Baux),avignon,TIER_A,MUST_SEE,spot,56,4349,"높이 15m 거대한 지하 백색 석회암 채석장 동굴 전체를 디지털 캔버스로 변모시킨 세계 최초·최대 규모의 몰입형 미디어 아트 공간. 7,000㎡ 암벽과 바닥을 감싸는 빛과 음악의 향연."
cassis,Cassis (카시스 항구),Cassis (Port de Cassis),aix,TIER_B,WORTHWHILE,spot,52,3557,"유럽 최고 높이의 해안 절벽 캅 카나유(Cap Canaille) 아래 자리한 아늑한 지중해 어항. 파스텔톤 가옥, 칼랑크 국립공원 유람선 출발지, 유서 깊은 카시스 화이트 와인(AOC Cassis)의 고향."
cau-ferrat,Cau Ferrat,,barcelona,TIER_B,WORTHWHILE,spot,50,2985,화가·작가·수집가 산티아고 루시뇰(1861–1931)이 자신의 철제 공예품과 미술 소장품을 두기 위해 만들었다.
centre-pompidou,Centre Pompidou,Centre Pompidou (Musée National d'Art Moderne),paris,TIER_B,WORTHWHILE,spot,50,3528,렌조 피아노와 리처드 로저스가 건물 배관과 골격을 외벽으로 노출시킨 20세기 하이테크 건축의 전설이자 유럽 최대 근현대미술관. ⚠ 2025년 가을부터 2030년까지 전면 개보수 공사로 본관 폐관 중.
cloitre-saint-trophime,Cloître Saint-Trophime,Cloître et Église Saint-Trophime d'Arles,avignon,TIER_B,WORTHWHILE,spot,54,4493,"12세기 프로방스 로마네스크 석조 조각의 정점인 생트로핌 파사드와, 12세기 로마네스크 및 14세기 고딕 양식이 한 중정에서 극적으로 공존하는 사각형 수도원 회랑(유네스코 세계유산)."
colline-du-chateau,Colline du Château,Colline du Château (성채 언덕),nice,TIER_B,MUST_SEE,spot,56,4210,"해발 92m 바위 절벽 위에서 천사의 만(Baie des Anges)과 구시가지, 림피아 항구를 360도 파노라마로 굽어보는 니스 최고의 천연 전망 공원."
collioure,Collioure,Cotlliure (Château Royal & Chemin du Fauvisme),girona,TIER_A,MUST_SEE,spot,58,4757,앙리 마티스와 앙드레 드랭이 야수파(Fauvism)를 탄생시킨 지중해 항구마을이자 마요르카 왕국의 해상 왕궁.
cours-mirabeau,Cours Mirabeau,Cours Mirabeau,aix,TIER_A,MUST_SEE,spot,60,5465,"1651년 옛 성벽 자리에 조성된 440m의 플라타너스 가로수길. 북쪽의 활기찬 카페와 남쪽의 고요한 17세기 귀족 저택, 4개의 유서 깊은 분수가 관통하는 엑상프로방스의 심장."
cours-saleya,Cours Saleya,Marché du Cours Saleya,nice,TIER_B,MUST_SEE,spot,55,3749,"지중해 꽃과 프로방스 제철 식재료, 그리고 갓 구워낸 니스 전통 소카(Socca)를 맛보는 유서 깊은 야외 시장 광장."
coustellet,Marché Paysan de Coustellet,Marché Paysan de Coustellet (생산자 시장),luberon,UTILITY,MUST_SEE,spot,51,3858,뤼베롱 현지 농부들이 직접 재배하고 만든 신선 농산물과 특산품만 판매하는 프랑스 공인 정통 생산자 직거래 일요 시장(Marché Paysan). 뤼베롱 농가 체류의 최고의 식재료 보급 거점.
croix-rousse,Croix-Rousse,La Croix-Rousse (La Colline qui travaille),lyon,TIER_A,MUST_SEE,spot,57,5217,"19세기 리옹 비단 산업의 심장이자 '일하는 언덕'. 4m 높이 자카르(Jacquard) 직조기를 위해 설계된 층고 높은 카뉘 아파트, 1831년 노동자 봉기의 상징 6층 거대 계단 '쿠르 데 보라스(Cour des Voraces)', 크루아루스 대로 로컬 시장."
fondation-vincent-van-gogh-arles,Fondation Vincent van Gogh Arles,Fondation Vincent van Gogh Arles,avignon,TIER_B,WORTHWHILE,spot,49,3493,"15세기 귀족 저택을 개조해 2014년 개관한 현대 미술 재단. 반 고흐의 혁신적인 예술 세계와 동시대 현대 미술 작가들의 대화, 옥상 테라스의 유리 설치 작품과 수준 높은 아트 북숍."
fort-saint-jean,Fort Saint-Jean,Fort Saint-Jean (Marseille),aix,TIER_B,MUST_SEE,spot,54,4089,"1660년 루이 14세가 마르세유 항구 입구에 지은 웅장한 해상 요새. 르네 왕의 탑, 지중해 식물원 정원, 바다와 구항구를 굽어보는 성벽 파노라마 테라스."
fourviere,Fourvière,Colline de Fourvière (Basilique & Théâtres Romains),lyon,TIER_A,MUST_SEE,spot,61,5709,"기원전 43년 로마 갈리아 수도 '루그두눔'이 시작된 발원지이자 리옹의 상징 '기도하는 언덕'. 기원전 15년 로마 대극장·오데옹과 19세기 비잔틴 모자이크 바실리카, 손강·프레스킬·알프스를 잇는 3단 대파노라마."
girona-cathedral,Girona Cathedral,Catedral de Santa Maria de Girona,girona,TIER_A,MUST_SEE,spot,68,5834,세계 최대 폭(23m)의 기둥 없는 단일 고딕 신랑과 11세기 창조의 태피스트리를 품은 카탈루냐 고딕의 걸작.
giverny,Giverny,Fondation Claude Monet à Giverny,paris,TIER_A,MUST_SEE,spot,54,4570,클로드 모네가 43년간 직접 꽃과 연못을 가꾸며 불후의 『수련』 대작을 창조해낸 살아있는 인상파 캔버스. 초록색 일본식 다리가 걸린 '물의 정원(Jardin d'eau)'과 핑크빛 모네 생가 아틀리에.
