day,date,region,overnight_location,stop_count,canonical_place_count,exception_count,first_stop,last_stop,transport_modes,lodging_ref,map_exists,daily_card_exists,booking_refs,meal_refs,route_data_exists,route_source,route_status_code,day_card_map_consistency
1,2026-08-29,barcelona,Barcelona,3,0,3,BCN T1 도착 — OZ511,취침 준비,Aerobús A1 (24시간 대안);taxi;walk;택시 (공항 T1 승강장 → 숙소),Occidental Barcelona 1929,Y,Y,bcn-airport(예약완료 OZ511 ([CONFIRMED]) — ICN T2 11:50 출발);barcelona-checkin(예약완료 Occidental Barcelona 1929),None,Y,routes/day-01-driving-osrm.json,D,MATCH
2,2026-08-30,barcelona,Barcelona,7,2,5,Recinte Modernista de Sant Pau,숙소 귀환 — Occidental Barcelona 1929,metro;walk;도보;버스/Metro · 현장 재계산,Occidental Barcelona 1929,Y,Y,sant-pau(현장 발권/온라인 자유관람 (€18));la-paradeta-sagrada(현장 선착순 대기 (13:00 오픈));sagrada-familia(예약완료 — 15:15 입장 (General · €29.12));bodega-joan(저녁 예약 권장),la-paradeta-sagrada;bodega-joan,N,daily-card-pins,A,MATCH
3,2026-08-31,barcelona,Barcelona,7,3,4,Mercat de la Concepció,숙소 귀환 — 짐 정리 및 휴식,walk;도보 (각 구간이 짧다),Occidental Barcelona 1929,Y,Y,"biblioteca-de-catalunya(자유 입장);bar-canete(사전 예약 필수 (월요일 정상 영업));macba(온라인 예매 (€13.50, 월요일 10:00~19:30 개관))",bar-canete,N,daily-card-pins,A,MATCH
4,2026-09-01,girona,Bàscara,6,2,4,Barcelona 체크아웃,Bàscara 체크인,Sitges 도보;car;walk;렌터카 · C-32/AP-7;택시,바스카라의 B&B,Y,Y,barcelona-checkout(숙소 후보 확정 필요);barcelona-sants(예약완료 Hertz [CONFIRMED] · Ford Puma급 · SuperCover · €176.01 — 07:00부터 인수 가능 · 크로스보더 신고 필요);can-robert(주차 운영 재확인);cau-ferrat-maricel(화요일 운영·통합권 재확인);la-zorra(13:00 예약);bascara-stay(체크인 창 재확인),la-zorra,Y,routes/day-04-driving-osrm.json,D,MATCH
5,2026-09-02,girona,Bàscara,5,2,3,Bàscara 출발,Bàscara 복귀,Collioure/Cadaqués 도보;car;walk;렌터카 · 국경 통과,바스카라의 B&B,Y,Y,collioure(오전 10시 전 주차);collioure-lunch(Le Jardin 선택 시 사전예약);cadaques(Saba 주차 재확인),collioure-lunch,Y,routes/day-05-driving-osrm.json,D,MATCH
6,2026-09-03,girona,Bàscara,6,2,4,Bàscara 출발,Bàscara 복귀,GI-682 해안도로 회피 기본;car;렌터카,바스카라의 B&B,Y,Y,tossa(주차·Vila Vella 접근 재확인);pals(지연 시 삭제 — 우선 압축 대상);peratallada(골목에 차를 넣지 않는다),sant-feliu,Y,routes/day-06-driving-osrm.json,D,MATCH
7,2026-09-04,nice,Nice,6,1,5,Bàscara 체크아웃,숙소 귀환,NCE 도착 후 트램 2호선 이동;VY1521 15:30→16:55 (확정 [CONFIRMED]);car;flight;tram;walk;렌터카 — BCN T1 반납 12:30 (요청),Palais ALZIRA · 12 Rue Verdi,Y,Y,"bascara-checkout(체크아웃 조건 재확인);bcn-airport-return(Hertz [CONFIRMED] — 예약서 14:00 반납, **12:30 으로 변경 요청 필요**);vy1521(예약완료 Vueling VY1521 ([CONFIRMED]));nice-checkin(예약완료 Airbnb [CONFIRMED] — 12 Rue Verdi, Palais ALZIRA (체크인 18:00~19:00))",None,Y,routes/day-07-driving-osrm.json,D,MATCH
8,2026-09-05,nice,Nice,7,5,2,Cours Saleya 시장,숙소 귀환 — Palais ALZIRA,walk;니스 시내 도보,Palais ALZIRA · 12 Rue Verdi,Y,Y,vieux-nice-lunch(현장 방문 또는 점심 예약 권장);castle-hill(무료 입장 (엘리베이터 무료 운영));nice-stay-return(예약완료 Airbnb [CONFIRMED] — 12 Rue Verdi),vieux-nice-lunch,N,daily-card-pins,A,MATCH
9,2026-09-06,nice,Nice,8,5,3,Nice-Ville역 출발 ➔ Antibes 이동,Nice-Ville 도착 ➔ 숙소 귀환,TER 왕복 (Nice-Ville ↔ Antibes ↔ Cannes);train;walk;앙티브 및 칸 시내 도보,Palais ALZIRA · 12 Rue Verdi,Y,Y,nice-ville(SNCF Connect / 현장 발권 (15~20분 간격));vieux-port-cannes(현장 선택);cannes-station(SNCF Connect),vieux-port-cannes,N,daily-card-pins,A,MATCH
10,2026-09-07,nice,Nice,8,5,3,Nice-Ville역 출발 ➔ Villefranche 이동,Menton ➔ Nice-Ville 복귀 ➔ 숙소,"TER (Nice ➔ Villefranche, Monaco ➔ Menton, Menton ➔ Nice);Zou! / Lignes d'Azur 버스 (Villefranche ➔ Èze Village, Èze Village ➔ Monaco);bus;train;walk;각 도시 내 도보 및 공공 엘리베이터",Palais ALZIRA · 12 Rue Verdi,Y,Y,nice-ville(SNCF Connect / 현장 발권);eze-village(이국적 정원 현장 (€7));menton-dinner(사전 확인 권장);nice-return(SNCF Connect),monaco-port-lunch;menton-dinner,N,daily-card-pins,A,MATCH
11,2026-09-08,nice,Nice,5,2,3,Marché de la Libération,숙소 — 익일 렌터카 준비 & 휴식,walk;도보;트램 1호선 (선택),Palais ALZIRA · 12 Rue Verdi,Y,Y,charles-negre(현장 발권 (€5)),liberation-lunch,N,daily-card-pins,A,MATCH
12,2026-09-09,aix,Aix-en-Provence,7,4,3,Nice 숙소 체크아웃 — Palais ALZIRA,숙소권 저녁 식사 & 휴식,A8 고속도로 및 프로방스 국도;car;walk;렌터카 — Nice역 09:00 인수 (확정 [CONFIRMED]),Les Toits de Méjanes (Airbnb),Y,Y,nice-checkout(체크아웃 완료 (Airbnb [CONFIRMED]));nice-station-pickup(예약확정 Hertz [CONFIRMED] — 9/9 09:00 인수);saint-paul(주차: Parking Indigo Saint-Paul-de-Vence (Primary));grasse(주차: Parking Notre Dame des Fleurs);aix-checkin(예약완료 Airbnb [CONFIRMED] — 체크인 9/9 15:00 · 체크아웃 9/13 14:00),grasse,Y,routes/day-12-driving-osrm.json,D,MATCH
13,2026-09-10,aix,Aix-en-Provence,7,5,2,Place Richelme & 목요 대형 시장,숙소 귀환 & 휴식,Aix 시내 도보 (구시가지 및 북부 아틀리에 도보권);walk,Les Toits de Méjanes (Airbnb),Y,Y,aix-lunch(현장 방문 또는 점심 예약 권장);atelier-des-lauves(사전 예약 필수 (Aix Tourism / €9.50));musee-granet(현장 발권 / 뮤지엄 패스 (€8)),aix-lunch,N,daily-card-pins,A,MATCH
14,2026-09-11,aix,Aix-en-Provence,7,4,3,Aix 숙소 출발 — 렌터카,숙소 귀환 & 저녁,"Cassis Presqu'île 또는 Gorguettes 주차;car;walk;차량 왕복 (Aix ↔ Cassis, A52/A50 고속도로 48km);칼랑크 유람선 (Cassis 항구 출발)",Les Toits de Méjanes (Airbnb),Y,Y,cassis-parking(주차 요금 현장 결제);calanques(현장 발권 / 사전 예매 권장);cassis(현장 선택),cassis,N,daily-card-pins,A,MATCH
15,2026-09-12,aix,Aix-en-Provence,9,6,3,Aix-en-Provence역 출발 ➔ Marseille 이동 (TER),Aix 숙소 귀환 & 익일 Luberon 이동 준비,"RTM 버스 60번 (Vieux-Port ↔ Notre-Dame de la Garde 직통);TER 기차 왕복 (Aix-en-Provence ↔ Marseille Saint-Charles, 36~45분);bus;train;walk;마르세유 시내 도보 (Vieux-Port ➔ Le Panier ➔ Fort Saint-Jean ➔ Mucem)",Les Toits de Méjanes (Airbnb),Y,Y,aix-station(SNCF Connect (30분 간격 배차 / 유연한 탑승));fort-saint-jean(Mucem 입장권 현장 (€11) / 요새 정원 무료);marseille-lunch(현장 선택);notre-dame-de-la-garde(무료 입장 (RTM 버스 1회권 €1.70));marseille-station(SNCF Connect),marseille-lunch,N,daily-card-pins,A,MATCH
