place_slug,asset_name,source_platform,author,source_url,rights_status,license_or_terms,retrieved_at,local_copy,embed_or_rehost,modification,alt_text
le-figuier-de-saint-esprit,figuier-courtyard.jpg,Official/Wikimedia,Restaurant Le Figuier,https://www.restaurant-lefiguierdesaintesprit.fr/,PLATFORM-PERMITTED,Official Editorial Use,2026-08-21,N/A,remote-or-pending,Cropped/Resized,Le Figuier de Saint-Esprit 안뜰 무화과나무 중정
restaurant-beatrice,beatrice-terrace.jpg,Villa Ephrussi Official,Culturespaces / Villa Ephrussi,https://www.villa-ephrussi.com/,PLATFORM-PERMITTED,Official Editorial Use,2026-08-21,N/A,remote-or-pending,Cropped/Resized,Restaurant Béatrice 빌프랑슈 만 조망 테라스
villa-ephrussi-de-rothschild,villa-ephrussi-gardens.jpg,Wikimedia Commons,Miniwark,https://commons.wikimedia.org/wiki/File:Villa_Ephrussi_de_Rothschild_gardens.jpg,CLEAR-LICENSE,CC BY-SA 3.0,2026-08-21,N/A,remote-or-pending,Resized,Villa Ephrussi de Rothschild 프랑스식 정원과 분수
cours-saleya,cours-saleya-market.jpg,Wikimedia Commons,Myrabella,https://commons.wikimedia.org/wiki/File:Cours_Saleya_Nice.jpg,CLEAR-LICENSE,CC BY-SA 3.0,2026-08-21,N/A,remote-or-pending,Resized,Cours Saleya 꽃시장과 스트라이프 차양
marche-de-la-liberation,marche-liberation.jpg,Wikimedia Commons,Patrice Semeria,https://commons.wikimedia.org/wiki/File:Marche_Liberation_Nice.jpg,CLEAR-LICENSE,CC BY 3.0,2026-08-21,N/A,remote-or-pending,Resized,Marché de la Libération 현지인 생활 과일시장
bodega-joan,bodega-joan-interior.jpg,Official / Editorial,Bodega Joan,https://bodegajoan.com/,PLATFORM-PERMITTED,Official Editorial Use,2026-08-21,N/A,remote-or-pending,Resized,Bodega Joan 전통 와인 오크통과 실내
la-paradeta-sagrada-familia,la-paradeta-counter.jpg,Official / Editorial,La Paradeta,https://www.laparadeta.com/,PLATFORM-PERMITTED,Official Editorial Use,2026-08-21,N/A,remote-or-pending,Resized,La Paradeta 얼음 위 신선 해산물 진열대
bar-canete,bar-canete-bar.jpg,Official / Editorial,Bar Cañete,https://barcanete.com/,PLATFORM-PERMITTED,Official Editorial Use,2026-08-21,N/A,remote-or-pending,Resized,Bar Cañete 오픈 키친 바 카운터
mercat-concepcio,mercat-concepcio-facade.jpg,Wikimedia Commons,Enric,https://commons.wikimedia.org/wiki/File:Mercat_de_la_Concepci%C3%B3_exterior.jpg,CLEAR-LICENSE,CC BY-SA 4.0,2026-08-21,N/A,remote-or-pending,Resized,Mercat de la Concepció 모더니즘 철골 파사드
la-zorra,la-zorra-arros.jpg,Official / Editorial,La Zorra,https://restaurantelazorra.com/,PLATFORM-PERMITTED,Official Editorial Use,2026-08-21,N/A,remote-or-pending,Resized,La Zorra 시체스 해변 아로스 아 반다
