Chapter,SectionPath,HeadingLevel,WordCount,PlaceholderCount,DraftingNotes
Barcelona·Sitges,Preamble,0,57,0,
Barcelona·Sitges,Commercial Guide Module,1,20,0,
Barcelona·Sitges,Editor’s Verdict,2,49,0,
Barcelona·Sitges,놓치면 아쉬운 선택,2,77,0,
Barcelona·Sitges,하루를 완성하는 네 가지 선택,2,68,0,
Barcelona·Sitges,이 지역의 Top 10,2,28,0,
Barcelona·Sitges,현장 메모,2,45,0,
Barcelona·Sitges,04. 바르셀로나·시체스 3박 4일,1,59,0,
Barcelona·Sitges,Phase 10 공식정보 원칙,2,22,0,
Barcelona·Sitges,Regional Context & Scheduled Place Dossiers,1,0,0,
Barcelona·Sitges,지역을 이해하는 다섯 개의 층,2,0,0,
Barcelona·Sitges,역사,3,14,0,
Barcelona·Sitges,경제,3,11,0,
Barcelona·Sitges,사회,3,8,0,
Barcelona·Sitges,문화,3,13,0,
Barcelona·Sitges,이번 여행에서의 의미,3,10,0,
Barcelona·Sitges,이 3박이 여행 전체에서 하는 일,2,45,0,
Barcelona·Sitges,일정에 포함된 장소별 상세 가이드,2,24,0,
Barcelona·Sitges,Day 2 — 사그라다 파밀리아 · 산 파우,3,0,0,
Barcelona·Sitges,Sagrada Família {{grade:essential|필수}},4,0,0,
Barcelona·Sitges,무엇인가,5,32,0,
Barcelona·Sitges,핵심 — 기둥이 나무인 이유,5,115,0,
Barcelona·Sitges,실용,5,56,1,Pending: {{badge:pending|재확인}}
Barcelona·Sitges,Sant Pau Recinte Modernista {{grade:essential|필수}},4,0,0,
Barcelona·Sitges,무엇인가 — 병원을 도시로 지었다,5,104,0,
Barcelona·Sitges,핵심 — 45도의 이유,5,138,0,
Barcelona·Sitges,실용,5,24,1,Pending: {{badge:pending|재확인}}
Barcelona·Sitges,Day 3 — 고딕 지구 · 시장 · 도서관,3,0,0,
Barcelona·Sitges,Barri Gòtic {{grade:essential|필수}},4,0,0,
Barcelona·Sitges,무엇인가,5,184,0,
