DuplicateID,Category,DuplicateName,WordCount,FilesCount,FilePaths,Action,TargetSingleSourceOfTruth
G001,D1-exact,Phase 10 공식정보 원칙,33,8,8 Regional Chapters,KEEP,ASSETS/91_Place_Registry_v1.0.md (또는 의도적 중복 보존)
G002,D2-near-95,실행지도 · 현장 사용 안내,40,8,8 Regional Chapters,KEEP,의도적 반복 보존 (가드 로드베어링)
G003,D2-near-80,프랑스 도로 및 운전 요약,57,3,"Nice, Aix, Luberon Chapters",MERGE,OPERATIONS/116_Road_Driving_Safety_Audit_v1.0.md 또는 1곳의 정본 (Aix)으로 병합 후 링크
G004,D2-near-80,Bàscara 확정 숙소,51,2,Girona Chapter & Reservation Register,MERGE,OPERATIONS/110_Phase8_Reservation_Register_v1.0.md
G005,D2-near-80,"현장 메모 (바르셀로나, 지로나, 니스, 리옹)",43,4,"Barcelona, Girona, Nice, Lyon Chapters",DELETE,비어 있거나 내부용 작성 흔적 메모 제거
G006,D3-partial-60,"현장 메모 (엑스, 루베롱, 아비뇽, 파리)",102,4,"Aix, Luberon, Avignon, Paris Chapters",DELETE,내부 제작 기록 및 폐기안 제거
G007,D3-partial-60,Editor’s Verdict 공통 구조,35,8,8 Regional Chapters,KEEP,의도적 반복 보존 (Region 필수 구조)
G008,D3-partial-60,Louvre Museum 실용 정보 및 묘사,52,2,ASSETS/90 Compendium & Paris Chapter,MOVE,places/louvre-museum.html (장소 단일 정본)
G009,D5-version,일자별 전체 시간표 (Chapter vs Daily),5000,8,8 Regional Chapters vs daily/*.json,MOVE,daily/day-NN.html (챕터 내 Day 절을 Daily 페이지로 단일화하여 챕터 본문에서는 요약만 렌더)
G010,D7-data,장소 등급 및 설명 중복 (Chapter vs Place Registry),8000,8,8 Chapters vs 91_Place_Registry_v1.0.md,MOVE,places/<slug>.html (장소 단일 정본으로 이동 후 챕터는 링크만 제공)
G011,D10-intentional,숙소 미확정 경고 및 pending 배지,15,43,daily/day-NN.html pages,KEEP,의도적 반복 보존 (현장 안전 가드)
G012,D10-intentional,긴급 연락처 및 112 안내,20,8,8 Regional Chapters,KEEP,의도적 반복 보존 (안전 대비용)
