id,page,section,subjectType,subjectName,city,priority,preferredOrientation,currentImage,candidateSource,status,notes
region-barcelona,chapters/barcelona/index.html,지역소개,city,Barcelona · Sitges,Barcelona · Sitges,P0,landscape,assets/heroes/barcelona.jpg,Wikimedia Commons,sample-selected,Phase 1 sample; file-level license verification required
region-girona,chapters/girona/index.html,지역소개,city,Girona · Costa Brava,Girona · Costa Brava,P0,landscape,assets/heroes/girona.jpg,Wikimedia Commons,sample-selected,Phase 1 sample; file-level license verification required
region-nice,chapters/nice/index.html,지역소개,city,Nice · Côte d’Azur,Nice · Côte d’Azur,P0,landscape,assets/heroes/nice.jpg,Wikimedia Commons,sample-selected,Phase 1 sample; file-level license verification required
region-aix,chapters/aix/index.html,지역소개,city,Aix-en-Provence,Aix-en-Provence,P0,landscape,assets/heroes/aix.jpg,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
region-luberon,chapters/luberon/index.html,지역소개,region,Luberon,Luberon,P0,landscape,assets/heroes/luberon.jpg,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
region-avignon,chapters/avignon/index.html,지역소개,city,Avignon · Alpilles,Avignon · Alpilles,P0,landscape,assets/heroes/avignon.jpg,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
region-lyon,chapters/lyon/index.html,지역소개,city,Lyon · Annecy,Lyon · Annecy,P0,landscape,assets/heroes/lyon.jpg,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
region-paris,chapters/paris/index.html,지역소개,city,Paris,Paris,P0,landscape,assets/heroes/paris.jpg,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
barcelona-sants,chapters/barcelona/index.html,교통,transport,Barcelona Sants,Barcelona · Sitges,P2,landscape,,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
barri-gotic,places/barri-gotic.html,장소,neighborhood,Barri Gòtic,Barcelona · Sitges,P0,landscape,Wikipedia runtime hotlink,Wikimedia Commons,sample-selected,Phase 1 sample; file-level license verification required
biblioteca-de-catalunya,places/biblioteca-de-catalunya.html,장소,museum,Biblioteca de Catalunya,Barcelona · Sitges,P1,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
cau-ferrat,places/cau-ferrat.html,장소,attraction,Cau Ferrat,Barcelona · Sitges,P0,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
macba,places/macba.html,장소,museum,MACBA,Barcelona · Sitges,P2,landscape,Wikipedia runtime hotlink,Wikimedia Commons,IMAGE_PENDING,Reason: no clearly reusable representative image selected yet
