file_path,line_number,pattern_type,matched_content,status,action_taken
CRITICAL_CONSTRAINT_REGISTER.csv,12,Airbnb/Hertz Code,HM*** / L672***,RESOLVED,Sanitized to [CONFIRMED]
DAY_EXECUTION_INVENTORY.csv,8,Airbnb/Hertz Code,HM*** / L672***,RESOLVED,Sanitized to [CONFIRMED]
DAY_FEASIBILITY_MATRIX.csv,12,Airbnb/Hertz Code,HM*** / L672***,RESOLVED,Sanitized to [CONFIRMED]
data/daily-cards/day-07.json,18,Airbnb Code,HM*** (Palais ALZIRA),RESOLVED,Sanitized to [CONFIRMED]
data/daily-cards/day-08.json,206,Airbnb Code,HM*** (Palais ALZIRA),RESOLVED,Sanitized to [CONFIRMED]
data/daily-cards/day-09.json,232,Airbnb Code,HM*** (Palais ALZIRA),RESOLVED,Sanitized to [CONFIRMED]
data/daily-cards/day-10.json,234,Airbnb Code,HM*** (Palais ALZIRA),RESOLVED,Sanitized to [CONFIRMED]
data/daily-cards/day-11.json,159,Airbnb Code,HM*** (Palais ALZIRA),RESOLVED,Sanitized to [CONFIRMED]
data/daily-cards/day-12.json,32,Airbnb/Hertz Code,HM*** / L672*** / HM***,RESOLVED,Sanitized to [CONFIRMED]
data/daily-cards/day-23.json,45,Hertz Code,L672*** (Avignon TGV),RESOLVED,Sanitized to [CONFIRMED]
source/ASSETS/maps/daily-routes.json,600,Hertz Code,L672*** (Nice-Ville),RESOLVED,Sanitized to [CONFIRMED]
source/CURRENT/10_Core/03_Whole_Trip_Master_Itinerary_v1.2.md,24,Hertz Code,L672***,RESOLVED,Sanitized to [CONFIRMED]
source/CURRENT/20_Regional_Chapters/04_Barcelona_Sitges_v2.0.md,975,Booking/Voucher Code,3655*** / 14008***,RESOLVED,Sanitized to [CONFIRMED]
source/CURRENT/20_Regional_Chapters/05_Girona_Collioure_Emporda_v2.1.md,212,Airbnb Code,HM***,RESOLVED,Sanitized to [CONFIRMED]
source/CURRENT/20_Regional_Chapters/06_Nice_Cote_d_Azur_v2.0.md,76,Airbnb Code / Host Phone,HM*** / +33 6 21 ** ** **,RESOLVED,Sanitized to [CONFIRMED]
source/CURRENT/20_Regional_Chapters/10_Lyon_v2.0.md,205,TGV PNR,4Y*** / X6***,RESOLVED,Sanitized to [CONFIRMED]
source/CURRENT/20_Regions/barcelona.md,77,Booking/Voucher Code,3655*** / 14008***,RESOLVED,Sanitized to [CONFIRMED]
source/OPERATIONS/110_Phase8_Reservation_and_Operations_Lock_Register_v1.0.md,28,Booking/Voucher Code,3655*** / HM***,RESOLVED,Sanitized to [CONFIRMED]
source/OPERATIONS/TP_Europe_Travel_Guidebook_Decision_Register_v0.4.md,536,Airbnb Code,HM***,RESOLVED,Sanitized to [CONFIRMED]
build/confirmed_fact_manifest.json,12,Private Tokens,Manifest Tokens,RESOLVED,Sanitized to Public Facts only
build/render.py,285,HTML Renderer Mask,mask_code function,RESOLVED,Masking updated to [CONFIRMED]
