food_slug,local_name,name_ko,region,category,short_intro,typical_price,best_context,recommended_venues,scheduled_days,source
pa-amb-tomaquet,Pa amb tomàquet,판 콘 토마테 (판 암 투마케트),barcelona,Bread / Tapas,구운 코카 빵에 생마늘과 완숙 토마토를 문지르고 올리브유와 소금을 친 카탈루냐 식탁의 절대적 기본값,€2.50~€4.50,모든 식사 시작 및 타파스,"Bodega Joan, Bar Cañete, Mercat de la Concepció","Day 01, 02, 03, 04",Catalan Culinary Heritage
escalivada,Escalivada,에스칼리바다,barcelona,Vegetable / Salad,"숯불에 통째로 구워 껍질을 벗긴 가지, 피망, 양파에 올리브유를 듬뿍 친 온화한 채소 전채 요리",€8.00~€14.00,점심·저녁 전채,"Bodega Joan, Bar Cañete","Day 02, 03",Catalan Traditional Gastronomy
esqueixada,Esqueixada,에스케이샤다,barcelona,Seafood Salad,"잘게 찢은 소금에 절인 생대구살과 토마토, 양파, 올리브를 올리브유로 버무린 상큼한 여름 샐러드",€10.00~€16.00,가벼운 점심·타파스,"Bar Cañete, Boqueria 바",Day 03,Catalan Traditional Gastronomy
botifarra-mongetes,Botifarra amb mongetes,부티파라 암 몬게테스,barcelona,Main Dish,육즙이 풍부한 카탈루냐 수제 돼지고기 소시지와 부드러운 흰 강낭콩 볶음,€11.00~€17.00,든든한 저녁 정찬,Bodega Joan,Day 02,Catalan Classic Comfort Food
fideua,Fideuà,피데우아,barcelona,Noodle Paella,쌀 대신 짧고 얇은 파스타 국수를 진한 생선 육수와 해산물로 볶아 구워낸 해안 정통 면 요리 (알리올리 필수),€14.00~€22.00,점심 주메뉴,"La Paradeta, 바르셀로네타 비스트로","Day 02, 04",Catalan Coast Specialty
arros-negre-banda,Arròs negre / Arròs a banda,아로스 네그레 / 아로스 아 반다,barcelona,Rice Dish,오징어 먹물로 감칠맛을 극대화한 블랙 라이스 또는 진한 해산물 스톡으로 얇게 지어낸 쌀요리,€18.00~€26.00,점심 메인 (2인 이상),"La Zorra (Sitges), Bar Cañete","Day 03, 04",Contemporary / Traditional Rice
bombes-barceloneta,Bombes de la Barceloneta,봄바,barcelona,Tapas / Fried,다진 매콤한 고기를 으깬 감자로 감싸 튀겨내고 알리올리와 브라바 매콤 소스를 얹은 대표 타파스,€3.50~€6.00 / piece,오후 간식 / 타파스 바,"Bar Cañete, Barceloneta",Day 03,Barceloneta Tapas Heritage
crema-catalana,Crema catalana,크레마 카탈라나,barcelona,Dessert,레몬 제스트와 시나몬 향이 감도는 커스터드 크림 표면에 설탕을 뿌려 토치로 바삭하게 구워낸 디저트,€5.00~€7.50,식후 디저트,"Bodega Joan, Casa Marieta","Day 02, 04",Catalan Iconic Dessert
suquet-de-peix,Suquet de peix,수케트 데 페이시,girona,Seafood Stew,"코스타 브라바 어부들이 갓 잡은 암초 생선, 감자, 마늘, 아몬드 피카다(Picada)를 넣고 끓여낸 진한 해산물 스튜",€22.00~€32.00,점심 또는 저녁 정찬,"Calella de Palafrugell 해변 식당, Sant Feliu",Day 06,Costa Brava Fisherman Cuisine
arros-cassola-pals,Arròs a la cassola,아로스 아 라 카솔라 (팔스 쌀 요리),girona,Rice Casserole,"팔스(Pals) 특산 쌀을 토기 냄비에 담아 고기와 해산물, 버섯 육수가 촉촉하게 배어들게 끓여낸 엠포르다 냄비밥",€18.00~€28.00,내륙 마을 점심,Pals / Peratallada 로컬 식당,Day 06,Empordà Heritage Gastronomy
mar-i-muntanya,Mar i muntanya,마르 이 문타냐 (바다와 산),girona,Meat & Seafood,닭고기나 미트볼(산)에 바닷가재나 딱새우·오징어(바다)를 초콜릿·넛트 피카다 소스로 함께 조려낸 엠포르다 전통 요리,€18.00~€28.00,지로나 저녁 정찬,Casa Marieta (Girona),"Day 04, 05",Empordà Signature Cuisine
xuixo-de-girona,Xuixo de Girona,추쇼 데 지로나,girona,Pastry,원통형 페이스트리에 진한 크레마 카탈라나를 채워 바삭하게 튀긴 후 설탕을 묻힌 지로나 최고의 명물 빵,€2.20~€3.50 / piece,아침 식사 / 커피 간식,"Mercat del Lleó, 지로나 로컬 베이커리","Day 04, 05",Girona Protected Pastry (1918)
anxoves-de-lescala,Anxoves de L'Escala,레스칼라 앤초비,girona,Cured Seafood,코스타 브라바 레스칼라 마을에서 전통 염장 기법으로 8개월 이상 숙성시킨 최고급 올리브유 절임 앤초비,€8.00~€15.00 / plate,타파스 / 와인 안주,"Mercat del Lleó, 엠포르다 식당","Day 04, 05, 06",Costa Brava Artisanal Heritage
anchois-de-collioure,Anchois de Collioure,콜리우르 앤초비 (IGP),collioure,Cured Seafood,중세부터 이어온 콜리우르 항구의 염장·초절임 앤초비(Anchois marinés / au sel). 유럽연합 IGP 지리적 표시 보호 품목,€6.00~€12.00 / plate,콜리우르 점심 전채 / 와인 안주,"Maison Desclaux, Roque, Collioure 비스트로",Day 05,Collioure Anchovy IGP Heritage
banyuls-collioure-wine,Vins de Collioure & Banyuls,콜리우르 & 바뉼스 와인 (AOC),collioure,Wine,피레네 산맥이 지중해로 떨어지는 가파른 편암 테라스 포도원에서 생산되는 농밀한 레드 와인 및 천연 감미 와인,€5.00~€9.00 / glass,점심·저녁 반주 / 테이스팅,Collioure 레스토랑 & 와인 숍,Day 05,Côte Vermeille AOC Wine
