place_id,place_name,entity_type,field,before_status,after_status,action,source_file,notes
abbaye-de-senanque,Abbaye Notre-Dame de Sénanque,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/abbaye-de-senanque.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
annecy,Annecy 구시가지 · 호수,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/annecy.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
arenes-d-arles,Arènes d'Arles,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/arenes-d-arles.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
arles,Arles,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/arles.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
atelier-des-lauves,Atelier de Cézanne (Atelier des Lauves),ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/atelier-des-lauves.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
bar-canete,Bar Cañete,RESTAURANT,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/bar-canete.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
barcelona-sants,Barcelona Sants,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/barcelona-sants.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
barri-gotic,Barri Gòtic,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/barri-gotic.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
bastide-du-jas-de-bouffan,Bastide du Jas de Bouffan,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/bastide-du-jas-de-bouffan.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
bellecour,Bellecour,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/bellecour.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
biblioteca-de-catalunya,Biblioteca de Catalunya,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/biblioteca-de-catalunya.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
bnf-richelieu,BnF Richelieu,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/bnf-richelieu.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
bodega-joan,Bodega Joan,RESTAURANT,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/bodega-joan.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
bonnieux,Bonnieux,ATTRACTION,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/bonnieux.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
bouillon-chartier-montparnasse,Bouillon Chartier Montparnasse,RESTAURANT,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/bouillon-chartier-montparnasse.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
boulangerie-pichard,Boulangerie Pichard,BAKERY,ALL_APPLICABLE_FIELDS,COMPLETE,COMPLETE,VERIFIED_PRESERVED,source/CURRENT/30_Places/boulangerie-pichard.md,"Applicable field completeness 100% verified across Canonical SOT, Day cards, Regional Guides, Map, Search, and Offline PWA."
