issue_id,day,severity,category,summary,detail,proposed_action,source_phase
FEAS-TIGHT-04,4,P2,ITINERARY_TIGHTNESS,"Day 04 schedule is tight (Grade C, Load: Moderate)",Requires strict timing adherence and carries vulnerability to transit/parking delays.,BUFFER & OPTIONALIZE,EX-01
FEAS-DUR-05,5,P2,VISIT_DURATION,Day 05 duration underallocated for major place(s): collioure(45m < 60m min),Time window in Day JSON is tighter than recommended minimum stay duration for Tier A/B places.,BUFFER / SHORTEN MINOR STOPS,EX-01
FEAS-TIGHT-05,5,P2,ITINERARY_TIGHTNESS,"Day 05 schedule is tight (Grade C, Load: Moderate)",Requires strict timing adherence and carries vulnerability to transit/parking delays.,BUFFER & RESEQUENCE,EX-01
FEAS-TIGHT-06,6,P2,ITINERARY_TIGHTNESS,"Day 06 schedule is tight (Grade C, Load: Moderate)",Requires strict timing adherence and carries vulnerability to transit/parking delays.,BUFFER & RESEQUENCE,EX-01
FEAS-TIGHT-10,10,P2,ITINERARY_TIGHTNESS,"Day 10 schedule is tight (Grade C, Load: Heavy)",Requires strict timing adherence and carries vulnerability to transit/parking delays.,BUFFER & RESEQUENCE,EX-01
FEAS-TIGHT-12,12,P2,ITINERARY_TIGHTNESS,"Day 12 schedule is tight (Grade C, Load: Moderate)",Requires strict timing adherence and carries vulnerability to transit/parking delays.,BUFFER & OPTIONALIZE,EX-01
FEAS-DUR-16,16,P2,VISIT_DURATION,Day 16 duration underallocated for major place(s): cassis(15m < 30m min),Time window in Day JSON is tighter than recommended minimum stay duration for Tier A/B places.,BUFFER / SHORTEN MINOR STOPS,EX-01
FEAS-DUR-20,20,P2,VISIT_DURATION,Day 20 duration underallocated for major place(s): pont-du-gard(40m < 60m min),Time window in Day JSON is tighter than recommended minimum stay duration for Tier A/B places.,BUFFER / SHORTEN MINOR STOPS,EX-01
FEAS-TIGHT-22,22,P2,ITINERARY_TIGHTNESS,"Day 22 schedule is tight (Grade C, Load: Heavy)",Requires strict timing adherence and carries vulnerability to transit/parking delays.,BUFFER & RESEQUENCE,EX-01
FEAS-TIGHT-23,23,P2,ITINERARY_TIGHTNESS,"Day 23 schedule is tight (Grade C, Load: Moderate)",Requires strict timing adherence and carries vulnerability to transit/parking delays.,BUFFER & OPTIONALIZE,EX-01
FEAS-OPN-31,31,P1,OPENING_HOURS,Day 31 opening hour/closed day constraint: CLOSED_DAY: le-marais closed on 월 (Musée Carnavalet 월요일 휴관 (화–일 개관)),Place opening schedule or closed day aligns tightly with visit day/time.,RESEQUENCE / REVERIFY,EX-01
FEAS-TIGHT-37,37,P2,ITINERARY_TIGHTNESS,"Day 37 schedule is tight (Grade C, Load: Light)",Requires strict timing adherence and carries vulnerability to transit/parking delays.,BUFFER & RESEQUENCE,EX-01
